Connector Type,कनेक्टर प्रकार
Default Sending and Inbox,डिफ़ॉल्ट भेजा जा रहा है और इनबॉक्स
"For updating, you can update only selective columns.","अपडेट करने के लिए, आप केवल चुनिंदा कॉलम ही अपडेट कर सकते हैं।"
Default for 'Check' type of field must be either '0' or '1',फ़ील्ड के &#39;चेक&#39; प्रकार के लिए डिफ़ॉल्ट &#39;0&#39; या &#39;1&#39; होना चाहिए
Share this document with,इस दस्तावेज़ को साझा करें
Print Hide,प्रिंट छिपाएँ
Text,टेक्स्ट
User Field,प्रयोक्ता फील्ड
Google Calendar ID,Google कैलेंडर ID
Reverted,वापस लाया गया
Edit to add content,सामग्री जोड़ने के लिए संपादित करें
Bulk Update,थोक अद्यतन
Secret Access Key,गुप्त पहुँच कुंजी
You need to be in developer mode to edit a Standard Web Form,मानक वेब फ़ॉर्म को संपादित करने के लिए आपको डेवलपर मोड में होना चाहिए
Logout from all devices while changing Password,पासवर्ड बदलते समय सभी उपकरणों से लॉगआउट करें
Skip Authorization,प्राधिकरण छोड़ें
Public,जनता
Following fields have missing values:,निम्नलिखित क्षेत्रों में लापता मूल्य हैं:
