Connector Type,コネクタの種類
First data column must be blank.,最初のデータ列は空白にする必要があります。
API Password,APIパスワード
{0} updated,{0}を更新しました
File Upload Disconnected. Please try again.,ファイルアップロードが切断されました。もう一度やり直してください。
Dynamic Link,動的リンク
"Customize Label, Print Hide, Default etc.",ラベルのカスタマイズ、非表示の印刷、デフォルトなど
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,独自のGoogle Appsスクリプト公開Webアプリケーションを使用していない場合は、デフォルトのhttps://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk / execを使用できます。
You do not have enough permissions to access this resource. Please contact your manager to get access.,このリソースにアクセスするための十分な権限がありません。アクセスするには、上司に連絡してください。
File {0} does not exist,ファイル{0}が存在しません
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0}は有効なワークフロー状態ではありません。ワークフローを更新してもう一度やり直してください。
Allowed In Mentions,言及で許可される
MX,MX
Configure Charts,チャートを設定する
Operator must be one of {0},演算子は{0}のいずれかでなければなりません
If Owner,オーナーの方
Trigger Name,トリガー名
Write titles and introductions to your blog.,ブログにタイトルや紹介文を書いてください。
Remove Field,フィールドを削除
Collapse All,すべて折りたたむ
Background Color,背景色
There were errors while creating the document. Please try again.,文書の作成中にエラーが発生しました。もう一度やり直してください。
Successful,成功しました
Field {0} in row {1} cannot be hidden and mandatory without default,行{1}のフィールド{0}は、デフォルトでなければ非表示にすることはできません。
Valid Login id required.,有効なログインIDが必要です。
Example:,例：
Owner,オーナー
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,許可タイプ（ <code>{0}</code> ）と応答タイプ（ <code>{1}</code> ）の組み合わせは許可されていません
Delete {0} items permanently?,{0}個のアイテムを完全に削除しますか？
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop",ユーザーにロールがチェックされている場合、そのユーザーは「システムユーザー」になります。 「システムユーザー」はデスクトップにアクセスできます
You are connected to internet.,あなたはインターネットに接続しています。
Avoid recent years.,近年は避けてください。
Share,シェア
Kanban Board,かんばんボード
Api Access,Apiアクセス
Send Email Alert,メールアラートを送信
Reference Date,参照日
X Axis Field,X軸フィールド
Script,スクリプト
Send Notifications for documents followed by me,私に続く文書の通知を送信する
Select DocType,DocTypeを選択
Search Help,検索ヘルプ
OTP App,OTPアプリ
Level Name,レベル名
Settings for OAuth Provider,OAuthプロバイダーの設定
Invalid Request,無効なリクエスト
Authentication,認証
Leave blank to repeat always,常に繰り返す場合は空白のままにします
Invalid module path,無効なモジュールパス
One Time Password (OTP) Registration Code from {},{}からのワンタイムパスワード（OTP）登録コード
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)",リンクはウェブサイトのホームページです。標準リンク（インデックス、ログイン、製品、ブログ、情報、連絡先）
Footer will display correctly only in PDF,フッターはPDFでのみ正しく表示されます
