Connector Type,Type de connecteur
Event Category,Catégorie d&#39;événement
Columns based on,Colonnes basées sur
Edit Heading,Modifier le titre
Received,Reçu
You are not permitted to access this page.,Vous n&#39;êtes pas autorisé à accéder à cette page.
User Social Login,Utilisateur Social Login
Write a Python file in the same folder where this is saved and return column and result.,Ecrivez un fichier Python dans le même dossier où il est enregistré et retournez colonne et résultat.
Purchase Manager,Responsable des achats
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,De nouvelles données seront insérées.
Set Banner from Image,Définir la bannière à partir de l&#39;image
Prepared Report,Rapport préparé
Not allowed to print cancelled documents,Non autorisé à imprimer des documents annulés
Cannot delete {0} as it has child nodes,Impossible de supprimer {0} car il a des nœuds enfants
Incorrect value in row {0}: {1} must be {2} {3},Valeur incorrecte dans la ligne {0}: {1} doit être {2} {3}
Communicated via {0} on {1}: {2},Communiqué via {0} le {1}: {2}
Plant,Plante
Update Field,Mise à jour du champ
Message-id,ID du message
Login Verification Code from {},Code de vérification de connexion de {}
for generating the recurring,pour générer le récurrent
Payment Cancelled,Paiement annulé
Percent Complete,Pourcentage achevé
Repeat on Day,Répéter le jour
Home Address,Adresse du domicile
Developer,Développeur
"Company is mandatory, as it is your company address",La société est obligatoire car il s&#39;agit de l&#39;adresse de votre société.
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Nom de champ incorrect <b>{0}</b> dans la configuration add_fetch du script personnalisé
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Temps en secondes pour conserver l&#39;image du code QR sur le serveur. Min: <strong>240</strong>
Home/Test Folder 2,Accueil / Dossier de test 2
You have a new message from: ,Vous avez un nouveau message de:
{0} in row {1} cannot have both URL and child items,{0} dans la ligne {1} ne peut contenir à la fois des éléments URL et enfants
Purple,Violet
Throttled,Étranglé
Defines workflow states and rules for a document.,Définit les états et les règles de workflow pour un document.
Is Manual,Est manuel
Error Snapshot,Instantané d&#39;erreur
Tag,Étiquette
SUB-,SOUS-
Files,Des dossiers
Parameter,Paramètre
First data column must be blank.,La première colonne de données doit être vide.
API Password,Mot de passe API
{0} updated,{0} mis à jour
File Upload Disconnected. Please try again.,Téléchargement de fichier déconnecté. Veuillez réessayer.
Dynamic Link,Lien dynamique
"Customize Label, Print Hide, Default etc.","Personnaliser les étiquettes, imprimer masquer, par défaut, etc."
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,"Si vous n&#39;utilisez pas votre propre application Web Google Apps Script, vous pouvez utiliser la valeur par défaut https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec."
You do not have enough permissions to access this resource. Please contact your manager to get access.,Vous n&#39;avez pas assez d&#39;autorisations pour accéder à cette ressource. Veuillez contacter votre responsable pour obtenir un accès.
File {0} does not exist,Le fichier {0} n&#39;existe pas
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} n&#39;est pas un état de flux de travail valide. Veuillez mettre à jour votre flux de travail et réessayer.
Allowed In Mentions,Permis en mentions
MX,MX
Configure Charts,Configurer les graphiques
Operator must be one of {0},L&#39;opérateur doit être l&#39;un des {0}
If Owner,Si propriétaire
Trigger Name,Nom du déclencheur
Write titles and introductions to your blog.,Rédigez des titres et des introductions sur votre blog.
Remove Field,Supprimer le champ
Collapse All,Réduire tout
Background Color,Couleur de fond
There were errors while creating the document. Please try again.,Il y avait des erreurs lors de la création du document. Veuillez réessayer.
Successful,Réussi
Valid Login id required.,Identifiant de connexion valide requis.
Example:,Exemple:
Owner,Propriétaire
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Combinaison du type d&#39;attribution ( <code>{0}</code> ) et du type de réponse ( <code>{1}</code> ) non autorisée
Delete {0} items permanently?,Supprimer les éléments {0} de manière permanente?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","Si l&#39;utilisateur a coché un rôle quelconque, l&#39;utilisateur devient un &quot;utilisateur système&quot;. &quot;Utilisateur système&quot; a accès au bureau"
You are connected to internet.,Vous êtes connecté à internet.
Avoid recent years.,Évitez les dernières années.
Share,Partager
Kanban Board,Conseil Kanban
Api Access,Accès Api
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","Pour comparaison, utilisez&gt; 5, &lt;10 ou = 324. Pour les plages, utilisez 5:10 (pour les valeurs entre 5 et 10)."
Send Email Alert,Envoyer une alerte email
Reference Date,Date de référence
X Axis Field,Champ d&#39;axe X
{0}: Options {1} must be the same as doctype name {2} for the field {3},{0}: les options {1} doivent être identiques au nom de type de document {2} pour le champ {3}.
Script,Scénario
Send Notifications for documents followed by me,Envoyer des notifications pour les documents suivis par moi
Select DocType,Sélectionnez DocType
Search Help,Rechercher dans l&#39;aide
OTP App,App OTP
Level Name,Nom du niveau
Settings for OAuth Provider,Paramètres du fournisseur OAuth
Invalid Request,requête invalide
Authentication,Authentification
Leave blank to repeat always,Laisser en blanc pour répéter toujours
Invalid module path,Chemin de module invalide
One Time Password (OTP) Registration Code from {},Code d&#39;enregistrement du mot de passe à usage unique (OTP) à partir de {}
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","Lien vers la page d&#39;accueil du site. Liens standard (index, login, produits, blog, propos, contact)"
Footer will display correctly only in PDF,Le pied de page ne s&#39;affichera correctement qu&#39;en PDF
You cannot give review points to yourself,Vous ne pouvez pas vous donner de points de révision
Reports,Rapports
Bypass restricted IP Address check If Two Factor Auth Enabled,Contourner la vérification de l&#39;adresse IP restreinte si l&#39;authentification à deux facteurs est activée
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Semble problème avec la configuration du serveur razorpay. Ne vous inquiétez pas, en cas d&#39;échec, le montant sera remboursé sur votre compte."
Option 1,Option 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Restreindre l&#39;utilisateur à partir de cette adresse IP uniquement. Plusieurs adresses IP peuvent être ajoutées en les séparant par des virgules. Accepte également les adresses IP partielles telles que (111.111.111)
chevron-down,chevron-down
Language Code,Code de langue
Unread,Non lu
Show Log,Afficher le journal
backward,en arrière
Bar,Bar
Enter url parameter for message,Entrez le paramètre url pour le message
New Custom Print Format,Nouveau format d&#39;impression personnalisé
{0} {1} already exists,{0} {1} existe déjà
Purchase User,Utilisateur de l&#39;achat
Insert,Insérer
Route to Success Link,Lien vers le succès
Username {0} already exists,Le nom d&#39;utilisateur {0} existe déjà
Is Home Folder,Est le dossier d&#39;accueil
Type:,Type:
Is Pinned,Est épinglé
No permission to '{0}' {1},Aucune autorisation sur &#39;{0}&#39; {1}
Patch Log,Journal des correctifs
Print Format Builder,Générateur de format d&#39;impression
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Si activé, tous les utilisateurs peuvent se connecter à partir de n’importe quelle adresse IP en utilisant l’authentification à deux facteurs. Ceci peut également être défini uniquement pour des utilisateurs spécifiques dans la page utilisateur."
only.,seulement.
The Condition '{0}' is invalid,La condition &#39;{0}&#39; est invalide
Day of Week,Jour de la semaine
Text Editor,Éditeur de texte
Cut,Couper
Search or type a command,Rechercher ou taper une commande
Settings...,Réglages...
Number of DB backups cannot be less than 1,Le nombre de sauvegardes de base de données ne peut pas être inférieur à 1
ban-circle,ban-cercle
Excel,Exceller
Support Email Address Not Specified,Adresse e-mail d&#39;assistance non spécifiée
Published,Publié
"Note: For best results,  images must be of the same size and width must be greater than height.","Remarque: pour obtenir les meilleurs résultats, les images doivent avoir la même taille et la largeur doit être supérieure à la hauteur."
This is a top-10 common password.,Ceci est un mot de passe commun top-10.
Rebuild,Reconstruire
Razorpay Payment gateway settings,Paramètres de la passerelle de paiement Razorpay
Brand Image,Image de marque
Please setup default Email Account from Setup &gt; Email &gt; Email Account,Veuillez configurer le compte de messagerie par défaut à partir de Configuration&gt; E-mail&gt; Compte de messagerie
Column Labels:,Étiquettes de colonne:
Google GSuite Templates to integration with DocTypes,Modèles Google GSuite pour l&#39;intégration à DocTypes
Orientation,Orientation
Assign,Attribuer
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"Par exemple, si vous annulez et modifiez INV004, il deviendra un nouveau document INV004-1. Cela vous aide à garder une trace de chaque amendement."
From Date Field,Champ date
Add script for Child Table,Ajouter un script pour la table enfant
View Comment,Voir le commentaire
