Connector Type,نوع اتصال
resize-vertical,تغییر اندازه عمودی
Shared With,به اشتراک گذاشته شده با
Add Row,اضافه کردن ردیف
th-list,th-list
Subdomain,زیر دامنه
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",HTML را تگ HTML تگ ها مانند &lt;script&gt; یا فقط کاراکترهایی مانند &lt;یا&gt; را رمزگذاری نکنید، زیرا می توان آنها را عمدا در این زمینه استفاده کرد
; not allowed in condition,؛ در شرایط غیر مجاز نیست
Two Factor Authentication method,دو روش اعتبار فاکتور
New Message from Website Contact Page,پیام جدید از صفحه تماس با صفحه
"Your download is being built, this may take a few moments...",دانلود شما در حال ساخت است، ممکن است چند لحظه ...
Compact Item Print,چاپ مورد فشرده
Lft,لفت
align-justify,align-justify
Saving...,صرفه جویی در...
Error Report,گزارش خطا
{0} changed {1} to {2},{0} تغییر {1} تا {2}
Active,فعال
Export Report: {0},گزارش صادرات: {0}
"Login session expired, refresh page to retry",جلسه ورودی منقضی شده است، صفحه را دوباره امتحان کنید تا دوباره امتحان کنید
System Manager,مدیر سیستم
Short keyboard patterns are easy to guess,الگوهای کلیدی کوتاه به راحتی حدس می زنند
Enable Incoming,فعال کردن ورودی
"Level 0 is for document level permissions, \
								higher levels for field level permissions.",سطح 0 برای مجوزهای سطح سند، \ سطوح بالاتر برای مجوزهای سطح میدان است.
City/Town,شهر / شهر
GMail,جیمیل
"This will reset your current theme, are you sure you want to continue?",این موضوع فعلی شما را تنظیم می کند، آیا مطمئن هستید که می خواهید ادامه دهید؟
Mandatory fields required in {0},الزامات لازم در {0}
Error while connecting to email account {0},خطا هنگام اتصال به حساب ایمیل {0}
An error occured while creating recurring,هنگام ایجاد دوره تکراری خطایی رخ داد
Not a zip file,یک فایل زیپ نیست
Port,بندر
Invalid Access Key ID or Secret Access Key.,شناسه کلید دسترسی نامعتبر یا کلید دسترسی راز.
Redirect URIs,تغییر مسیر URI ها
Font,فونت
Text Color,رنگ متن
I found these: ,من این را پیدا کردم:
Timeline DocType,Timeline DocType
File,فایل
Insert After cannot be set as {0},درج پس از آن نمی توان به عنوان {0} تنظیم کرد
Drag elements from the sidebar to add. Drag them back to trash.,کشیدن عناصر از نوار کناری برای اضافه کردن. آنها را به سطل زباله بکشید.
Chat Profile for User {0} exists.,پروفایل گپ برای کاربر {0} وجود دارد
Default Role at Time of Signup,نقش پیش فرض در زمان ثبت نام
Table MultiSelect,MultiSelect جدول
Form Settings,تنظیمات فرم
{0} self assigned this task: {1},{0} خود این وظیفه را اختصاص داده است: {1}
Relapses,تجدید حیات
Notify users with a popup when they log in,وقتی وارد سیستم میشوید، با یک پنجره ظاهر میشوید
Restrict user for specific document,کاربر را برای سند خاص محدود کنید
App Name,نام برنامه
Delayed,تاخیر
Your subscription has expired.,اشتراک شما منقضی شده است
Download Link,لینک دانلود
"Standard DocType cannot have default print format, use Customize Form",DocType استاندارد نمی تواند فرمت چاپ پیش فرض داشته باشد، از فرم سفارشی استفاده کنید
Document States,کشورهای مستند
Next,بعد
Pull Insert,وارد کردن
minus,منهای
Event Category,دسته رویداد
Columns based on,ستون بر اساس
Edit Heading,ویرایش عنوان
Received,اخذ شده
You are not permitted to access this page.,شما مجاز به دسترسی به این صفحه نیستید.
User Social Login,ورودی کاربر اجتماعی
Write a Python file in the same folder where this is saved and return column and result.,یک فایل Python را در همان فولدر ذخیره کنید و ستون و نتیجه را بازگردانید.
Purchase Manager,مدیر خرید
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,داده های جدید وارد می شوند
Set Banner from Image,تنظیم بنر از تصویر
Prepared Report,گزارش تهیه شده
Not allowed to print cancelled documents,مجاز به چاپ مدارک لغو شده نیست
Cannot delete {0} as it has child nodes,نمی توان {0} را حذف کرد زیرا دارای گره های فرزند است
Incorrect value in row {0}: {1} must be {2} {3},مقدار نادرست در ردیف {0}: {1} باید {2} {3} باشد
Communicated via {0} on {1}: {2},با {0} در {1} ارتباط برقرار کردیم: {2}
Plant,گیاه
Update Field,فیلد بهروزرسانی
Message-id,شناسه پیام
Login Verification Code from {},وارد کردن کد تأیید از {}
Width of the input box,عرض جعبه ورودی
for generating the recurring,برای تولید تکرار کننده
Payment Cancelled,پرداخت لغو شد
Percent Complete,درصد تکمیل شد
Repeat on Day,تکرار در روز
Home Address,آدرس خانه
Developer,توسعهدهنده
"Company is mandatory, as it is your company address",شرکت اجباری است، زیرا که آدرس شرکت شماست
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,نام فیلد نامنسجم <b>{0}</b> در تنظیمات add_fetch از اسکریپت سفارشی
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,زمان در ثانیه برای حفظ تصویر کد QR بر روی سرور. حداقل: <strong>240</strong>
Home/Test Folder 2,صفحه اصلی / تست پوشه 2
You have a new message from: ,شما یک پیام جدید از:
{0} in row {1} cannot have both URL and child items,{0} در ردیف {1} نمیتواند هر دو آیتم URL و کودک داشته باشد
Purple,رنگ بنفش
Throttled,ضعیف
Defines workflow states and rules for a document.,حالت های گردش کار و قوانین برای یک سند را تعریف می کند.
Is Manual,دستی است
Error Snapshot,عکس فوری خطا
Tag,برچسب
SUB-,زیر-
Files,فایل ها
Parameter,پارامتر
First data column must be blank.,ستون اول داده باید خالی باشد
API Password,رمز عبور API
{0} updated,{0} به روز شد
File Upload Disconnected. Please try again.,آپلود فایل قطع شده است لطفا دوباره تلاش کنید.
Dynamic Link,پیوند پویا
"Customize Label, Print Hide, Default etc.",برچسب سفارشی کردن، پنهان کردن چاپ، پیش فرض و غیره
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,اگر شما از webapp خود استفاده نمیکنید، میتوانید از https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec به طور پیش فرض استفاده کنید.
You do not have enough permissions to access this resource. Please contact your manager to get access.,برای دسترسی به این منبع مجوز کافی ندارید لطفا برای دسترسی به مدیر خود تماس بگیرید
File {0} does not exist,فایل {0} وجود ندارد
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} حالت کارکرد معتبر نیست. لطفا گردش کار خود را به روز کنید و دوباره امتحان کنید.
