Connector Type,Tilslutningstype
Incorrect value in row {0}: {1} must be {2} {3},Forkert værdi i række {0}: {1} skal være {2} {3}
Communicated via {0} on {1}: {2},Kommunikeres via {0} på {1}: {2}
Plant,Plante
Update Field,Opdateringsfelt
Message-id,Message-id
Login Verification Code from {},Login Bekræftelseskode fra {}
Width of the input box,Bredden af input boksen
for generating the recurring,for at generere den tilbagevendende
Payment Cancelled,Betaling annulleret
Percent Complete,Procent fuldført
Repeat on Day,Gentag på dagen
Home Address,Hjemme adresse
Developer,Udvikler
"Company is mandatory, as it is your company address","Virksomheden er obligatorisk, da det er din virksomhedsadresse"
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Forkert feltnavn <b>{0}</b> i add_fetch konfiguration af brugerdefineret script
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Tid i sekunder for at beholde QR-kode billede på serveren. Min: <strong>240</strong>
Home/Test Folder 2,Hjem / Testmappe 2
You have a new message from: ,Du har en ny besked fra:
{0} in row {1} cannot have both URL and child items,{0} i række {1} kan ikke have både webadresser og børneelementer
Purple,Lilla
Throttled,drosles
Defines workflow states and rules for a document.,Definerer arbejdsgangstilstande og regler for et dokument.
Is Manual,Er manuel
Error Snapshot,Fejlbillede
Tag,tag
SUB-,SUB
Files,Filer
Parameter,Parameter
First data column must be blank.,Første datakolonne skal være tom.
API Password,API-adgangskode
{0} updated,{0} opdateret
File Upload Disconnected. Please try again.,Filoploadet frakoblet. Prøv igen.
Dynamic Link,Dynamisk Link
"Customize Label, Print Hide, Default etc.","Tilpas etiket, Udskriv Skjul, Standard osv."
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,"Hvis du ikke bruger eget publiceret Google Apps Script-webapp, kan du bruge standard https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec"
You do not have enough permissions to access this resource. Please contact your manager to get access.,Du har ikke tilstrækkelige tilladelser til at få adgang til denne ressource. Kontakt din leder for at få adgang.
File {0} does not exist,Filen {0} eksisterer ikke
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} er ikke en gyldig arbejdsgangsstat. Opdater din arbejdsgang og prøv igen.
Allowed In Mentions,Tilladt i Mentioner
MX,MX
Configure Charts,Konfigurer diagrammer
Operator must be one of {0},Operatøren skal være en af {0}
If Owner,Hvis ejer
Trigger Name,Udløsernavn
Write titles and introductions to your blog.,Skriv titler og introduktioner til din blog.
Remove Field,Fjern felt
Collapse All,Skjul alle
Background Color,Baggrundsfarve
There were errors while creating the document. Please try again.,Der opstod fejl under oprettelsen af dokumentet. Prøv igen.
Successful,Vellykket
Field {0} in row {1} cannot be hidden and mandatory without default,Felt {0} i række {1} kan ikke skjules og obligatorisk uden standard
Valid Login id required.,Gyldig login id kræves.
Example:,Eksempel:
Owner,Ejer
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Kombination af tildelingstype ( <code>{0}</code> ) og svartype ( <code>{1}</code> ) er ikke tilladt
Delete {0} items permanently?,Slet {0} elementer permanent?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","Hvis brugeren har nogen rolle kontrolleret, bliver brugeren en &quot;systembruger&quot;. &quot;Systembruger&quot; har adgang til skrivebordet"
You are connected to internet.,Du er forbundet til internettet.
Avoid recent years.,Undgå de seneste år.
Share,Del
Kanban Board,Kanban Board
Api Access,Api Access
Send Email Alert,Send Email Alert
Reference Date,Referencedato
X Axis Field,X-aksefelt
Script,Manuskript
Send Notifications for documents followed by me,Send meddelelser om dokumenter efterfulgt af mig
Select DocType,Vælg DocType
Search Help,Søg Hjælp
OTP App,OTP App
Level Name,Niveau Navn
Settings for OAuth Provider,Indstillinger for OAuth Provider
Invalid Request,Ugyldig forespørgsel
Authentication,Godkendelse
Leave blank to repeat always,Forlad altid for at gentage
Invalid module path,Ugyldig modulsti
One Time Password (OTP) Registration Code from {},One Time Password (OTP) registreringskode fra {}
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","Link, der er hjemmesiden hjemmeside. Standard Links (indeks, login, produkter, blog, om, kontakt)"
Footer will display correctly only in PDF,Footer vises kun korrekt i PDF
You cannot give review points to yourself,Du kan ikke give anmeldelse point til dig selv
Reports,Rapporter
Bypass restricted IP Address check If Two Factor Auth Enabled,"Bypass begrænset IP-adresse kontrol, hvis to faktor auth aktiveret"
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Synes problemet med serverens razorpay config. Må ikke bekymre dig, i tilfælde af svigt vil beløbet blive refunderet til din konto."
Option 1,Mulighed 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Begræns kun brugeren fra denne IP-adresse. Flere IP-adresser kan tilføjes ved at adskille med kommaer. Accepterer også delvise IP-adresser som (111.111.111)
chevron-down,Chevron-down
Language Code,Sprogkode
Unread,Ulæst
Show Log,Vis Log
backward,baglæns
Bar,Bar
Enter url parameter for message,Indtast url-parameter for besked
New Custom Print Format,Nyt tilpasset udskriftsformat
{0} {1} already exists,{0} {1} eksisterer allerede
Purchase User,Køb bruger
Insert,Indsæt
Route to Success Link,Rute til succes link
Username {0} already exists,Brugernavn {0} eksisterer allerede
Is Home Folder,Er hjemmemappe
Type:,Type:
Is Pinned,Er fastgjort
No permission to '{0}' {1},Ingen tilladelse til &#39;{0}&#39; {1}
Patch Log,Patch Log
Print Format Builder,Print Format Builder
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Hvis aktiveret, kan alle brugere logge ind fra en hvilken som helst IP-adresse ved hjælp af Two Factor Auth. Dette kan også kun indstilles til specifikke brugere i bruger side"
only.,kun.
The Condition '{0}' is invalid,Tilstanden &#39;{0}&#39; er ugyldig
Day of Week,Ugedag
Text Editor,Tekst editor
Cut,Skære
Search or type a command,Søg eller skriv en kommando
Settings...,Indstillinger ...
Number of DB backups cannot be less than 1,Antal DB-sikkerhedskopier kan ikke være mindre end 1
ban-circle,ban-cirkel
Excel,Excel
Support Email Address Not Specified,Support Email Address Ikke angivet
Published,Udgivet
"Note: For best results,  images must be of the same size and width must be greater than height.","Bemærk: For de bedste resultater skal billederne være af samme størrelse, og bredden skal være større end højden."
This is a top-10 common password.,Dette er et top-10 fælles kodeord.
Rebuild,Genopbygge
Razorpay Payment gateway settings,Razorpay betalings gateway indstillinger
Brand Image,Brand Image
Column Labels:,Kolonne etiketter:
Google GSuite Templates to integration with DocTypes,Google GSuite Skabeloner til integration med DocTypes
Orientation,Orientering
Assign,Tildel
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"For eksempel, hvis du annullerer og ændrer INV004, bliver det et nyt dokument INV004-1. Dette hjælper dig med at holde øje med hvert enkelt ændringsforslag."
From Date Field,Fra datofelt
Add script for Child Table,Tilføj script til børnetabel
View Comment,Se kommentar
Ignore User Permissions,Ignorer brugerautorisationer
{0} from {1} to {2},{0} fra {1} til {2}
Add Contacts,Tilføj kontaktpersoner
Email Account,Email konto
This month,Denne måned
Last Modified By,Senest ændret af
Width,Bredde
{0} subscribers added,{0} abonnenter tilføjet
Get Contacts,Få kontaktpersoner
{0} {1} added,{0} {1} tilføjet
picture,billede
Please select a new name to rename,Vælg venligst et nyt navn for at omdøbe
File Upload,Fil upload
Add New Permission Rule,Tilføj ny tilladelsesregel
"Print Width of the field, if the field is a column in a table","Udskriv Bredden af feltet, hvis feltet er en kolonne i en tabel"
retweet,retweet
Models (building blocks) of the Application,Modeller (byggesten) af applikationen
Sidebar and Comments,Sidebjælke og kommentarer
User Permissions created sucessfully,Bruger tilladelser oprettet succesfuldt
In Reply To,I Svar til
circle-arrow-down,cirkel-pil-ned
Searching ...,Søger ...
File Name,Filnavn
Printer Settings,Printerindstillinger
"Oops, you are not allowed to know that","Ups, du har ikke lov til at vide det"
Restore or permanently delete a document.,Gendan eller permanent slet et dokument.
no failed attempts,ingen mislykkede forsøg
Kanban Board Column,Kanban Board Column
use % as wildcard,brug% som jokertegn
Blocked,blokeret
Import Log,Import Log
Chat messages and other notifications.,Chat meddelelser og andre meddelelser.
Get Alerts for Today,Få advarsler til i dag
Google Maps Settings,Indstillinger for Google Maps
Toggle Charts,Skift diagrammer
A4,A4
Set Password,Indstil kodeord
{0} Report,{0} Rapport
Mapping,Kortlægning
A Lead with this Email Address should exist,Et led med denne e-mailadresse skal eksistere
Seems token you are using is invalid!,Synes token du bruger er ugyldig!
Assigned To/Owner,Tildelt til / ejer
Invalid Subscription,Ugyldig abonnement
Tasks,Opgaver
You lost some energy points,Du tabte nogle energipunkter
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","Liste som [{&quot;label&quot;: _ (&quot;Jobs&quot;), &quot;route&quot;: &quot;jobs&quot;}]"
Users,Brugere
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,Der var fejl under afsendelse af e-mail. Prøv igen.
Last Month,Sidste måned
e.g. smtp.gmail.com,fx smtp.gmail.com
There must be atleast one permission rule.,Der skal være mindst én tilladelsesregel.
Show Totals,Vis Totals
Push Delete,Tryk Slet
Request URL,Anmodning URL
Forward To Email Address,Videresend til e-mail-adresse
Select Print Format,Vælg Print Format
Remote Fieldname,Fjern feltnavn
Is Globally Pinned,Er globalt fastgjort
Failed to complete setup,Kunne ikke fuldføre opsætningen
"""Parent"" signifies the parent table in which this row must be added","&quot;Forældre&quot; betyder forældetabellen, hvor denne række skal tilføjes"
Trigger Method,Trigger Metode
Danger,Fare
To User,Til bruger
Doc Events,Doc Events
Failed,mislykkedes
Administrator accessed {0} on {1} via IP Address {2}.,Administrator har fået adgang til {0} på {1} via IP-adresse {2}.
{0}: Permission at level 0 must be set before higher levels are set,"{0}: Tilladelse til niveau 0 skal indstilles, før højere niveauer er indstillet"
Permission Level,Tilladelsesniveau
Current Mapping Type,Aktuel kortlægningstype
Records for following doctypes will be filtered,Records for følgende doktypes vil blive filtreret
Scheduler Last Event,Planlægger sidste begivenhed
Report of all document shares,Rapport af alle dokument aktier
Website Sidebar Item,Website Sidebar Item
To Do,At gøre
"Select your Country, Time Zone and Currency","Vælg dit land, tidszone og valuta"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Indtast statiske url-parametre her (fx afsender = ERPNæst, brugernavn = ERPNæst, kodeord = 1234 osv.)"
No Email Account,Ingen e-mail-konto
Billing,Fakturering
"Page to show on the website
","Side, der skal vises på hjemmesiden"
Chat Token,Chat Token
Custom,Brugerdefinerede
Options for select. Each option on a new line.,Valg for valg. Hver mulighed på en ny linje.
Both DocType and Name required,Både DocType og Navn påkrævet
Every Day,Hver dag
Label Help,Etiket Hjælp
Login token required,Login token kræves
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Antal kolonner for et felt i en listevisning eller et gitter (samlede kolonner skal være mindre end 11)
Category,Kategori
Timespan,Tidsperiode
Edit Profile,Rediger profil
Ref Report DocType,Ref Report DocType
