Connector Type,Typ konektora
Your subscription has expired.,Platnosť vášho odberu vypršala.
Download Link,Odkaz na stiahnutie
"Standard DocType cannot have default print format, use Customize Form","Štandardný dokument DocType nemôže mať predvolený formát tlače, použite formulár Prispôsobiť"
Document States,Dokument štáty
Next,Ďalšie
Pull Insert,Vytiahnite vložku
minus,bez
Event Category,Kategória udalosti
Columns based on,Stĺpce založené na
Edit Heading,Upraviť nadpis
Received,obdržané
You are not permitted to access this page.,Nemáte povolenie na prístup na túto stránku.
User Social Login,Prihlásenie používateľa
Write a Python file in the same folder where this is saved and return column and result.,"Napíšte súbor Python do toho istého priečinka, kde je uložený a vrátite stĺpec a výsledok."
Purchase Manager,Správca nákupov
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,Vložia sa nové údaje.
Set Banner from Image,Nastavte Banner z obrázku
Prepared Report,Pripravená správa
Not allowed to print cancelled documents,Nie je dovolené tlačiť zrušené dokumenty
Cannot delete {0} as it has child nodes,"Nedá sa odstrániť {0}, pretože má podradené uzly"
Incorrect value in row {0}: {1} must be {2} {3},Nesprávna hodnota v riadku {0}: {1} musí byť {2} {3}
Communicated via {0} on {1}: {2},Oznámené prostredníctvom {0} dňa {1}: {2}
Plant,rastlina
Update Field,Aktualizovať pole
Message-id,Message-id
Login Verification Code from {},Overovací kód prihlásenia z {}
for generating the recurring,pre generovanie opakovaného
Payment Cancelled,Platba bola zrušená
Percent Complete,Percent dokončené
Repeat on Day,Opakujte na deň
Home Address,Adresa bydliska
Developer,vývojka
"Company is mandatory, as it is your company address","Spoločnosť je povinná, pretože je to adresa vašej spoločnosti"
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Nesprávne názov poľa <b>{0}</b> v konfigurácii vlastného skriptu add_fetch
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Čas v sekundách na uchovanie obrázku QR kódu na serveri. Min: <strong>240</strong>
Home/Test Folder 2,Priečinok Home / Test 2
You have a new message from: ,Máte novú správu od používateľa:
{0} in row {1} cannot have both URL and child items,{0} v riadku {1} nemôže mať URL aj podradené položky
Purple,Fialová
Throttled,škrtil
Defines workflow states and rules for a document.,Definuje stavy pracovných postupov a pravidlá pre dokument.
Is Manual,Je manuálne
Error Snapshot,Snímka chyby
Tag,štítok
SUB-,pod-
Files,súbory
Parameter,parameter
First data column must be blank.,Prvý stĺpec údajov musí byť prázdny.
API Password,Heslo API
{0} updated,{0} aktualizované
File Upload Disconnected. Please try again.,Odovzdanie súboru bolo odpojené. Prosím skúste znova.
Dynamic Link,Dynamické prepojenie
"Customize Label, Print Hide, Default etc.","Prispôsobiť menovku, tlačiť skryté, predvolené atď."
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,"Ak nepoužívate vlastnú webovú verziu skriptu služby Google Apps Script, môžete použiť predvolenú https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec"
You do not have enough permissions to access this resource. Please contact your manager to get access.,Nemáte dostatok povolení na prístup k tomuto zdroju. Obráťte sa na svojho manažéra a získajte prístup.
File {0} does not exist,Súbor {0} neexistuje
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} nie je platný stav pracovného toku. Aktualizujte svoj pracovný tok a skúste to znova.
Allowed In Mentions,Povolené v zmienkach
MX,MX
Configure Charts,Konfigurácia grafov
Operator must be one of {0},Operátor musí byť jeden z {0}
If Owner,Ak vlastník
Trigger Name,Názov spúšťača
Write titles and introductions to your blog.,Napíšte názvy a úvody do svojho blogu.
Remove Field,Odstrániť pole
Collapse All,Zbaliť všetko
Background Color,Farba pozadia
There were errors while creating the document. Please try again.,Pri vytváraní dokumentu sa vyskytli chyby. Prosím skúste znova.
Successful,Úspešný
Valid Login id required.,Vyžaduje sa platné prihlasovacie ID.
Example:,Príklad:
Owner,vlastník
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Kombinácia typu grantu ( <code>{0}</code> ) a typu odpovede ( <code>{1}</code> ) nie je povolená
Delete {0} items permanently?,Trvalo odstrániť položky {0}?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","Ak má užívateľ akúkoľvek úlohu, potom sa užívateľ stane &quot;Systémovým užívateľom&quot;. &quot;Systémový používateľ&quot; má prístup na pracovnú plochu"
You are connected to internet.,Ste pripojení na internet.
Avoid recent years.,Vyhnite sa v posledných rokoch.
Share,zdieľam
Kanban Board,Kanban Board
Api Access,Api Access
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","Na porovnanie použite&gt; 5, &lt;10 alebo = 324. Pre rozsahy použite 5:10 (pre hodnoty medzi 5 a 10)."
Send Email Alert,Odoslať e-mailové upozornenie
Reference Date,Referenčný dátum
X Axis Field,X Axis Field
{0}: Options {1} must be the same as doctype name {2} for the field {3},{0}: Možnosti {1} musia byť rovnaké ako názov doctype {2} pre pole {3}
Script,skript
Send Notifications for documents followed by me,"Odoslať upozornenia na dokumenty, ktoré nasleduje"
Select DocType,Vyberte možnosť DocType
Search Help,Pomocník vyhľadávania
OTP App,OTP App
Level Name,Názov úrovne
Settings for OAuth Provider,Nastavenia pre poskytovateľa OAuth
Invalid Request,neplatná požiadavka
Authentication,overenie pravosti
Leave blank to repeat always,Nechajte prázdne opakovať vždy
Invalid module path,Neplatná cesta modulu
One Time Password (OTP) Registration Code from {},Registračný kód OTP (One Time Password) od {}
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","Odkaz, ktorý je domovskou stránkou webovej stránky. Štandardné odkazy (index, prihlasovacie údaje, produkty, blog, informácie o kontakte, kontakt)"
Footer will display correctly only in PDF,Päta sa zobrazí správne iba vo formáte PDF
You cannot give review points to yourself,Sami nemôžete dať body na preskúmanie
Reports,správy
Bypass restricted IP Address check If Two Factor Auth Enabled,Bypass limited IP Address check Ak je povolená možnosť Two Factor Authent
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Zdá sa, že problém so serverom razorpay config. Nebojte sa, v prípade zlyhania vám bude vrátená suma na váš účet."
Option 1,možnosť 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),"Obmedzte používateľa len z tejto adresy IP. Viac adries IP možno pridať oddelením čiarkami. Prijíma aj čiastkové adresy IP, ako (111.111.111)"
chevron-down,krokva-down
Language Code,Kód jazyka
Unread,neprečítaný
Show Log,Zobraziť denník
backward,zaostalý
Bar,bar
Enter url parameter for message,Zadajte parameter url pre správu
New Custom Print Format,Nový vlastný formát tlače
{0} {1} already exists,{0} {1} už existuje
Purchase User,Nákup používateľa
Insert,insert
Route to Success Link,Trasa k odkazu úspechu
Username {0} already exists,Meno používateľa {0} už existuje
Is Home Folder,Je domovský priečinok
Type:,typ:
Is Pinned,Je pripnutý
No permission to '{0}' {1},Žiadne povolenie na &#39;{0}&#39; {1}
Patch Log,Patch Log
Print Format Builder,Nástroj na vytváranie formátu tlače
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Ak je táto možnosť povolená, všetci používatelia sa môžu prihlásiť z ľubovoľnej adresy IP pomocou funkcie Two Factor Auth. Toto môže byť tiež nastavené len pre konkrétneho používateľa (používateľov) v Užívateľskej stránke"
only.,Iba.
The Condition '{0}' is invalid,Podmienka &#39;{0}&#39; je neplatná
Day of Week,Deň v týždni
Text Editor,Textový editor
Cut,rez
Search or type a command,Vyhľadajte alebo zadajte príkaz
Settings...,Nastavenie...
Number of DB backups cannot be less than 1,Počet záloh DB nemôže byť menší ako 1
ban-circle,ban-circle
Excel,vynikať
Support Email Address Not Specified,E-mailová adresa podpory nie je špecifikovaná
Published,Uverejnený
"Note: For best results,  images must be of the same size and width must be greater than height.",Poznámka: Pre najlepšie výsledky musia byť obrázky rovnakej veľkosti a šírky ako výška.
This is a top-10 common password.,Toto je spoločné heslo pre top-10.
Rebuild,prestavať
Razorpay Payment gateway settings,Nastavenia platobnej brány Razorpay
Brand Image,Obrázok značky
Please setup default Email Account from Setup &gt; Email &gt; Email Account,Nastavte predvolený e-mailový účet z ponuky Nastavenie&gt; E-mail&gt; E-mailový účet
Column Labels:,Menovky stĺpcov:
Google GSuite Templates to integration with DocTypes,Šablóny Google GSuite pre integráciu s DocTypes
Orientation,orientácia
Assign,Priradiť
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"Napríklad ak zrušíte a zmeníte INV004, stane sa novým dokumentom INV004-1. To vám pomôže sledovať každú zmenu a doplnenie."
From Date Field,Od poľa Dátum
Add script for Child Table,Pridať skript pre tabuľku Dieťa
View Comment,Zobraziť komentár
Ignore User Permissions,Ignorovať povolenia používateľa
{0} from {1} to {2},{0} od {1} do {2}
Add Contacts,Pridať kontakty
Email Account,Email účet
This month,Tento mesiac
Last Modified By,Posledná zmena
Width,šírka
{0} subscribers added,{0} pridaných odberateľov
Get Contacts,Získať kontakty
{0} {1} added,{0} {1} pridané
picture,obrázok
Please select a new name to rename,"Vyberte nový názov, ktorý chcete premenovať"
File Upload,Nahranie súboru
Add New Permission Rule,Pridať nové pravidlo povolenia
"Print Width of the field, if the field is a column in a table","Tlač Šírka poľa, ak je pole stĺpcom v tabuľke"
retweet,retweet
Models (building blocks) of the Application,Modely (stavebné bloky) aplikácie
Sidebar and Comments,Bočný panel a komentáre
User Permissions created sucessfully,Povolenia používateľa boli vytvorené úspešne
In Reply To,V odpovedi na
circle-arrow-down,krúžku sa šípkou dole
Searching ...,Vyhľadávanie ...
File Name,Názov súboru
Printer Settings,Nastavenia tlačiarne
"Oops, you are not allowed to know that","Hops, to nie je dovolené vedieť"
Restore or permanently delete a document.,Obnoviť alebo natrvalo odstrániť dokument.
no failed attempts,žiadne neúspešné pokusy
Kanban Board Column,Stĺpec Kanban Board
use % as wildcard,použiť ako zástupný znak%
Blocked,upchatý
Import Log,Importovať denník
Chat messages and other notifications.,Správy chatu a iné upozornenia.
Get Alerts for Today,Získajte upozornenia na dnes
Google Maps Settings,Nastavenia služby Mapy Google
Toggle Charts,Prepnúť grafy
A4,A4
Set Password,Nastaviť heslo
{0} Report,{0} Nahlásiť
Mapping,mapovanie
A Lead with this Email Address should exist,Mala by existovať značka s touto e-mailovou adresou
Seems token you are using is invalid!,"Zdá sa, že token, ktorý používate, je neplatný!"
Assigned To/Owner,Pridelené / Vlastník
Invalid Subscription,Neplatné predplatné
Tasks,úlohy
You lost some energy points,Stratili ste nejaké energetické body
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","Zoznam ako [{&quot;label&quot;: _ (&quot;Jobs&quot;), &quot;route&quot;: &quot;jobs&quot;}]"
Users,užívatelia
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,Pri odosielaní e-mailov sa vyskytli chyby. Prosím skúste znova.
Last Month,Minulý mesiac
e.g. smtp.gmail.com,napr. smtp.gmail.com
There must be atleast one permission rule.,Musí existovať aspoň jedno povolenie.
Show Totals,Zobraziť súčty
Push Delete,Stlačte Delete
Request URL,Žiadosť URL
Forward To Email Address,Poslať ďalej na e-mailovú adresu
Select Print Format,Vyberte možnosť Formát tlače
Remote Fieldname,Názov vzdialeného poľa
Is Globally Pinned,Je globálne pripútaný
Failed to complete setup,Nepodarilo sa dokončiť nastavenie
"""Parent"" signifies the parent table in which this row must be added","&quot;Rodič&quot; označuje materskú tabuľku, do ktorej musí byť tento riadok pridaný"
