Connector Type,Liittimen tyyppi
Two Factor Authentication method,Kaksi tekijää käyttävä todennustapa
New Message from Website Contact Page,Uusi viesti Web-sivuston sivulta
"Your download is being built, this may take a few moments...","Latauksesi on rakennettu, tämä voi kestää hetken ..."
Compact Item Print,Pienikokoinen tulostus
Lft,LFT
align-justify,tasata tasaus
Saving...,Tallentaa...
Error Report,Virhe raportti
{0} changed {1} to {2},{0} muutti {1} - {2}
Active,aktiivinen
Export Report: {0},Vie raportti: {0}
"Login session expired, refresh page to retry","Sisäänkirjautuminen on päättynyt, päivitä sivu uudelleen yrittääksesi"
System Manager,Järjestelmänhallinta
Short keyboard patterns are easy to guess,Lyhyt näppäimistökuvio on helppo arvata
Enable Incoming,Ota käyttöön
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Taso 0 on asiakirjojen käyttöoikeudet, korkeammat tasot"
City/Town,Kaupunki kaupunki
GMail,GMail
"This will reset your current theme, are you sure you want to continue?","Tämä nollaa nykyisen teeman, haluatko varmasti jatkaa?"
Mandatory fields required in {0},Pakolliset kentät vaaditaan kohdassa {0}
Error while connecting to email account {0},Virhe yhteyden muodostamisessa sähköpostitiliin {0}
An error occured while creating recurring,Toistuvuuden luomisessa tapahtui virhe
Not a zip file,Ei zip-tiedosto
Port,portti
Invalid Access Key ID or Secret Access Key.,Virheellinen pääsyavaimen tunnus tai salainen käyttöavain.
Redirect URIs,Uudelleenohjaus URI: t
Font,kirjasinlaji
Text Color,Tekstin väri
I found these: ,Löysin nämä:
Timeline DocType,Aikajana DocType
File,tiedosto
Insert After cannot be set as {0},Lisää jälkeen -toimintoa ei voi asettaa arvoksi {0}
Drag elements from the sidebar to add. Drag them back to trash.,Vedä elementit sivupalkista lisätäksesi. Vedä ne takaisin roskakoriin.
Chat Profile for User {0} exists.,Käyttäjän {0} chat-profiili on olemassa.
Default Role at Time of Signup,Oletusarvo ilmoittautumisajankohtana
Table MultiSelect,Taulukko MultiSelect
Form Settings,Lomakeasetukset
{0} self assigned this task: {1},{0} itse määritti tämän tehtävän: {1}
Relapses,pahenemisvaiheita
Notify users with a popup when they log in,"Ilmoita käyttäjille ponnahdusikkuna, kun he kirjautuvat sisään"
Restrict user for specific document,Rajoita käyttäjä tiettyä asiakirjaa varten
App Name,Sovelluksen nimi
Delayed,myöhässä
Your subscription has expired.,Tilaus on vanhentunut.
Download Link,Lataa linkki
"Standard DocType cannot have default print format, use Customize Form","Tavallisessa DocType-muodossa ei voi olla oletustulostusmuotoa, käytä Mukauta lomaketta"
Document States,Asiakirjavaltiot
Next,Seuraava
Pull Insert,Vedä lisäosa
minus,miinus
Event Category,Tapahtumaluokka
Columns based on,Sarakkeet perustuvat
Edit Heading,Muokkaa otsikkoa
Received,Otettu vastaan
You are not permitted to access this page.,Et voi käyttää tätä sivua.
User Social Login,Käyttäjätunnus
Write a Python file in the same folder where this is saved and return column and result.,"Kirjoita Python-tiedosto samaan kansioon, johon tämä on tallennettu, ja palaa sarakkeeseen ja tulokseen."
Purchase Manager,Ostopäällikkö
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,Uusia tietoja lisätään.
Set Banner from Image,Aseta Banner kuvasta
Prepared Report,Valmistettu raportti
Not allowed to print cancelled documents,Ei saa tulostaa peruutettuja asiakirjoja
Cannot delete {0} as it has child nodes,"{0} ei voi poistaa, koska siinä on lapsisolmuja"
Incorrect value in row {0}: {1} must be {2} {3},Virheellinen arvo rivillä {0}: {1} on {2} {3}
Communicated via {0} on {1}: {2},Tiedoksi {0} kautta {1}: {2}
Plant,Kasvi
Update Field,Päivitä kenttä
Message-id,Viesti-id
Login Verification Code from {},Sisäänkirjautumisen vahvistuskoodi {}
Width of the input box,Syöttölaatikon leveys
for generating the recurring,toistuvan
Payment Cancelled,Maksu peruutetaan
Percent Complete,Prosenttiosuus valmis
Repeat on Day,Toista päivä
Home Address,Kotiosoite
Developer,Kehittäjä
"Company is mandatory, as it is your company address","Yritys on pakollinen, koska se on yrityksesi osoite"
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Väärä kentänimi <b>{0}</b> mukautetun komentosarjan add_fetch-määrityksessä
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Aika sekunneissa QR-koodikuvan säilyttämiseksi palvelimella. Min: <strong>240</strong>
Home/Test Folder 2,Koti / koekansio 2
You have a new message from: ,Sinulla on uusi viesti:
{0} in row {1} cannot have both URL and child items,{0} rivissä {1} ei voi olla sekä URL- että lapsikohteita
Purple,Violetti
Throttled,kuristetaan
Defines workflow states and rules for a document.,Määrittää työnkulun tilan ja asiakirjan säännöt.
Is Manual,Onko manuaalinen
Error Snapshot,Virhe tilannekuvan aikana
Tag,Tag
SUB-,SUB-
Files,Tiedostot
Parameter,Parametri
First data column must be blank.,Ensimmäisen datan sarakkeen on oltava tyhjä.
API Password,API-salasana
{0} updated,{0} päivitetty
File Upload Disconnected. Please try again.,Tiedoston lataus on katkaistu. Yritä uudelleen.
Dynamic Link,Dynaaminen linkki
"Customize Label, Print Hide, Default etc.","Muokkaa tarraa, tulosta piilota, oletusarvo jne."
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,"Jos et käytä omia julkaista Google Apps Script webappia, voit käyttää oletusarvoa https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec"
You do not have enough permissions to access this resource. Please contact your manager to get access.,Sinulla ei ole tarpeeksi oikeuksia käyttääksesi tätä resurssia. Ota yhteyttä johtajaasi saadaksesi pääsyn.
File {0} does not exist,Tiedostoa {0} ei ole olemassa
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} ei ole kelvollinen työnkulun tila. Päivitä työnkulku ja yritä uudelleen.
Allowed In Mentions,Sallittu sanoin
MX,MX
Configure Charts,Määritä kaaviot
Operator must be one of {0},Operaattorin on oltava yksi {0}
If Owner,Jos omistaja
Trigger Name,Trigger-nimi
Write titles and introductions to your blog.,Kirjoita otsikko ja esittely blogiisi.
Remove Field,Poista kenttä
Collapse All,Kutista kaikki
Background Color,Taustaväri
There were errors while creating the document. Please try again.,Asiakirjan luomisessa oli virheitä. Yritä uudelleen.
Successful,onnistunut
Field {0} in row {1} cannot be hidden and mandatory without default,Kenttä {0} rivissä {1} ei voi olla piilotettu ja pakollinen ilman oletusarvoa
Valid Login id required.,Tarvitaan voimassa oleva tunnus.
Example:,Esimerkki:
Owner,Omistaja
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,Avustustyypin ( <code>{0}</code> ) ja vastaustyypin ( <code>{1}</code> ) yhdistelmä ei ole sallittua
Delete {0} items permanently?,Poista {0} kohteita pysyvästi?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","Jos käyttäjällä on roolin tarkistus, käyttäjästä tulee &quot;Järjestelmän käyttäjä&quot;. Järjestelmän käyttäjällä on pääsy työpöydälle"
You are connected to internet.,Olet yhteydessä Internetiin.
Avoid recent years.,Vältä viime vuosina.
Share,Jaa
Kanban Board,Kanbanin hallitus
Api Access,Api Access
Send Email Alert,Lähetä sähköpostihälytys
Reference Date,Viitepäivä
X Axis Field,X-akselikenttä
Script,käsikirjoitus
Send Notifications for documents followed by me,Lähetä minulle ilmoituksia asiakirjoista
Select DocType,Valitse DocType
Search Help,Hakuapu
OTP App,OTP-sovellus
Level Name,Tason nimi
Settings for OAuth Provider,OAuth-palveluntarjoajan asetukset
Invalid Request,Virheellinen pyyntö
Authentication,Authentication
Leave blank to repeat always,"Jätä tyhjä, jos haluat toistaa aina"
Invalid module path,Virheellinen moduulipolku
One Time Password (OTP) Registration Code from {},Yhden kerran salasanan (OTP) rekisteröintikoodi osoitteesta {}
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","Linkki, joka on verkkosivuston etusivu. Standardilinkit (indeksi, kirjautumistunnus, tuotteet, blogi, noin, yhteystiedot)"
Footer will display correctly only in PDF,Alatunniste näkyy oikein vain PDF-muodossa
You cannot give review points to yourself,Et voi antaa tarkistuspisteitä itsellesi
Reports,raportit
Bypass restricted IP Address check If Two Factor Auth Enabled,"Rajoitetun IP-osoitteen ohitus Tarkista, että kaksi tekijää on käytössä"
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Näyttää ongelman palvelimen razorpay-määrityksessä. Älä huoli, mikäli vika on palautettu tilillesi."
Option 1,Vaihtoehto 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Rajoita käyttäjä vain tästä IP-osoitteesta. Useita IP-osoitteita voidaan lisätä erottamalla ne pilkuilla. Hyväksyy myös osittaiset IP-osoitteet kuten (111.111.111)
chevron-down,Chevron-down
Language Code,Kielikoodi
Unread,Lukemattomat
Show Log,Näytä loki
backward,taaksepäin
Bar,Baari
Enter url parameter for message,Anna viestin URL-parametri
New Custom Print Format,Uusi mukautettu tulostusmuoto
{0} {1} already exists,{0} {1} on jo olemassa
Purchase User,Osta käyttäjä
Insert,Insert
Route to Success Link,Reitti onnistuneeseen linkkiin
Username {0} already exists,Käyttäjätunnus {0} on jo olemassa
Is Home Folder,Onko kotikansio
Type:,Tyyppi:
Is Pinned,On kiinnitetty
No permission to '{0}' {1},Ei oikeutta &#39;{0}&#39; {1}
Patch Log,Patch Log
Print Format Builder,Print Format Builder
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Jos tämä on käytössä, kaikki käyttäjät voivat kirjautua mihin tahansa IP-osoitteeseen käyttämällä kahta tekijää. Tämä voidaan asettaa vain tietylle käyttäjälle käyttäjäsivulla"
only.,vain.
The Condition '{0}' is invalid,Ehto &#39;{0}&#39; on virheellinen
Day of Week,Viikonpäivä
Text Editor,Tekstieditori
Cut,Leikata
Search or type a command,Etsi tai kirjoita komento
Settings...,Asetukset...
Number of DB backups cannot be less than 1,DB-varmuuskopioiden määrä ei voi olla pienempi kuin 1
ban-circle,kielto-ympyrä
Excel,kunnostautua
Support Email Address Not Specified,"Tuki Sähköpostiosoite, jota ei ole määritelty"
Published,Julkaistu
"Note: For best results,  images must be of the same size and width must be greater than height.",Huomautus: Parhaan tuloksen saavuttamiseksi kuvien on oltava kooltaan ja leveyssuhteiltaan korkeita.
This is a top-10 common password.,Tämä on yleinen 10 paras salasana.
Rebuild,uudistaa
Razorpay Payment gateway settings,Razorpay-maksuyhdyskäytävän asetukset
Brand Image,Brand Image
Column Labels:,Sarakeetiketit:
Google GSuite Templates to integration with DocTypes,Google GSuite -mallit integroituvat DocTypesiin
Orientation,Suuntautuminen
Assign,luovuttaa
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"Jos esimerkiksi peruutat ja muutat INV004: n, siitä tulee uusi asiakirja INV004-1. Näin voit seurata jokaista tarkistusta."
From Date Field,Päivämäärä-kentästä
Add script for Child Table,Lisää skripti lapsitaulukolle
View Comment,Näytä kommentti
Ignore User Permissions,Ohita käyttäjän käyttöoikeudet
{0} from {1} to {2},{0} {1} - {2}
Add Contacts,Lisää yhteystieto
Email Account,Sähköpostitili
This month,Tässä kuussa
Last Modified By,Viimeksi muokattu
Width,Leveys
{0} subscribers added,{0} lisätty tilaajia
Get Contacts,Hae yhteystiedot
{0} {1} added,{0} {1} lisättiin
picture,kuva
Please select a new name to rename,"Valitse uusi nimi, jonka haluat nimetä uudelleen"
File Upload,Tiedoston lataus
Add New Permission Rule,Lisää uusi lupasääntö
"Print Width of the field, if the field is a column in a table","Tulosta kentän leveys, jos kenttä on taulukon sarake"
retweet,retweet
Models (building blocks) of the Application,Sovelluksen mallit (rakennuspalikat)
Sidebar and Comments,Sivupalkki ja kommentit
User Permissions created sucessfully,Käyttäjän oikeudet luotu onnistuneesti
In Reply To,Vastauksena
circle-arrow-down,ympyrä-nuoli-alas
Searching ...,Haetaan ...
File Name,Tiedoston nimi
Printer Settings,Tulostimen asetukset
"Oops, you are not allowed to know that","Hups, et tiedä sitä"
Restore or permanently delete a document.,Palauta tai poista pysyvästi asiakirja.
no failed attempts,mitään epäonnistuneita yrityksiä
Kanban Board Column,Kanbanin hallituksen sarake
use % as wildcard,käyttää% -merkintää
Blocked,Tukossa
Import Log,Tuo loki
Chat messages and other notifications.,Chat-viestit ja muut ilmoitukset.
Get Alerts for Today,Hanki hälytykset tänään
Google Maps Settings,Google Maps -asetukset
Toggle Charts,Vaihda kaaviot
A4,A4
Set Password,Aseta salasana
{0} Report,{0} Raportti
Mapping,Kartoitus
A Lead with this Email Address should exist,Tämän sähköpostiosoitteen kanssa pitäisi olla johtaja
Seems token you are using is invalid!,Näyttää käyttämäsi merkin olevan virheellinen!
Assigned To/Owner,Omistettu / Omistaja
Invalid Subscription,Virheellinen tilaus
Tasks,tehtävät
You lost some energy points,Olet menettänyt joitakin energiapisteitä
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","Luettele [{&quot;etiketti: _ (&quot; Työpaikat &quot;),&quot; reitti &quot;:&quot; työt &quot;}]"
Users,käyttäjät
UIDNEXT,UIDNEXT
There were errors while sending email. Please try again.,Sähköpostia lähetettäessä tapahtui virheitä. Yritä uudelleen.
Last Month,Viime kuukausi
e.g. smtp.gmail.com,esim. smtp.gmail.com
There must be atleast one permission rule.,On oltava vähintään yksi lupasääntö.
Show Totals,Näytä summat
Push Delete,Paina Poista
Request URL,Pyydä URL-osoitetta
Forward To Email Address,Välitä sähköpostiosoitteeseen
Select Print Format,Valitse Tulostusmuoto
Remote Fieldname,Etäkentän nimi
Is Globally Pinned,Se on maailmanlaajuisesti kiinni
Failed to complete setup,Asennuksen suorittaminen epäonnistui
"""Parent"" signifies the parent table in which this row must be added","&quot;Vanhempi&quot; tarkoittaa vanhempaa taulukkoa, johon tämä rivi on lisättävä"
Trigger Method,Trigger-menetelmä
Danger,Vaara
To User,Käyttäjä
Doc Events,Doc-tapahtumat
Failed,epäonnistui
Administrator accessed {0} on {1} via IP Address {2}.,Järjestelmänvalvoja pääsi {0} {1} kautta IP-osoitteen {2}.
{0}: Permission at level 0 must be set before higher levels are set,{0}: Lupa tasolla 0 on asetettava ennen kuin korkeammat tasot on asetettu
