Connector Type,Цоннецтор Типе
Submit this document to confirm,Пошаљите овај документ да бисте потврдили
{0} already exists. Select another name,{0} већ постоји. Изаберите друго име
You have unsaved changes in this form. Please save before you continue.,У овом обрасцу имате неспремљене измене. Сачувајте пре него што наставите.
Action Failed,Радња није успела
Actions,Акције
Applicable Document Types,Примјењиви типови докумената
circle-arrow-right,круг-стрелица-десно
Searching,У потрази
tint,тинт
{0} months ago,{0} месеци
Use socketio to upload file,Користите соцкетио за отпремање датотеке
Password,Пассворд
Skype,Скипе
Open your authentication app on your mobile phone.,Отворите апликацију за потврду идентитета на мобилном телефону.
Customized HTML Templates for printing transactions.,Прилагођени ХТМЛ предлошци за штампање трансакција.
End Date cannot be before Start Date!,Датум завршетка не може бити пре Датум почетка!
In Preview,Ин Превиев
and uncheck Disabled in the Auto Repeat document,и одзначите Онемогућено у документу Аутоматско понављање
File Upload in Progress. Please try again in a few moments.,Учитавање датотеке у току. Покушајте поново за неколико тренутака.
Postal Code,поштански код
Workflow State,Воркфлов Стате
Tree,Дрво
Milestone Tracker,Милестоне Трацкер
Your subscription will expire tomorrow.,Ваша претплата истиче сутра.
Address Title,Аддресс Титле
Message Parameter,Параметар поруке
