Connector Type,connector အမျိုးအစား
User {0} cannot be renamed,အသုံးပြုသူ {0} အမည်ပြောင်းမရနိုင်
Remember Last Selected Value,နောက်ဆုံးရွေးချယ်ထားသော Value ကိုကိုသတိရပါ
Client Secret,client လျှို့ဝှက်ချက်
Quick Help for Setting Permissions,ခွင့်ပြုချက်များချိန်ညှိခြင်းအဘို့အ quick အကူအညီ
Enable Two Factor Auth,နှစ်ဦး Factor Auth Enable
Warning,သတိပေးခြင်း
Invalid payment gateway credentials,မှားနေသောငွေပေးချေမှုတံခါးပေါက်အထောက်အထားများ
Are you sure you want to relink this communication to {0}?,သငျသညျ {0} အားဤဆက်သွယ်ရေးနှင့်ပြန်လည်ချိတ်ဆက်ရန်လိုခငျြတာသေချာလား?
Check this to pull emails from your mailbox,သင့်ရဲ့စာတိုက်ပုံးထဲကနေအီးမေးလ်တွေကိုဆွဲထုတ်ရန်ဤ Check
You don't have access to Report: {0},သငျသညျအစီရင်ခံစာမှဝင်ရောက်ခွင့်ရှိသည်မဟုတ်ကြဘူး: {0}
Keeps track of all communications,အားလုံးဆက်သွယ်ရေးလမ်းကြောင်းစောင့်ရှောက်
Configure Theme,အဓိကအကြောင်းအရာ configure
Login not allowed at this time,login ဤအချိန်တွင်ခွင့်မပြု
It is risky to delete this file: {0}. Please contact your System Manager.,{0}: ဒါဟာဤဖိုင်သို့ဖျက်ပစ်ရန်အန္တရာယ်များသည်။ သင့်ရဲ့ System ကို Manager ကိုဆက်သွယ်ပါ။
Please ensure that your profile has an email address,သင့်ရဲ့ပရိုဖိုင်းကိုအီးမေးလိပ်စာတစ်ခုရှိကြောင်းသေချာ ကျေးဇူးပြု.
Toggle Full Width,ခလုတ်အပြည့်အဝအကျယ်
Starting Frappe ...,Frappe စတင်ကာ ...
Allow Guest to View,ဧည့်သည် View မှ Allow
Column Break,ကော်လံလူငယ်များသို့
Go to {0} Page,{0} &#39;s Page ကိုသွားပါ
System,စံနစ်
{0} must be unique,{0} ထူးခြားတဲ့သူဖြစ်ရမည်
Your payment was successfully accepted,သင့်အတွက်ငွေပေးချေမှုကိုအောင်မြင်စွာလက်ခံခဲ့သည်ခဲ့သည်
Button Label,button ကိုတံဆိပ်တပ်ရန်
Move,လှုပ်ရှား
"SQL Conditions. Example: status=""Open""",SQL အခြေအနေများ။ ဥပမာ: status ကို = &quot;ပွင့်လင်း&quot;
Confirmed,အတည်ပြုပြောကြား
"Field ""route"" is mandatory for Web Views",field &quot;လမ်းကြောင်း&quot; web Views စာတွေအတွက်မဖြစ်မနေဖြစ်ပါသည်
Apply,Apply
Sender,ပေးပို့သူ
Mark as {0},{0} အဖြစ်မာ့ခ်
Discard,စွန့်ပစ်
Select an image of approx width 150px with a transparent background for best results.,အကောင်းဆုံးရလဒ်တွေကိုတစ်ပွင့်လင်းနောက်ခံနှင့်အတူခန့်အကျယ် 150px ၏ပုံရိပ်တစ်ခုရွေးချယ်ပါ။
Relapsed,ပြန်ရောက်သွားတယ်
Email Sent,အီးမေးလ်ပို့ရန် Sent
Read by Recipient On,တွင်လက်ခံသူများက Read
Allow user to login only after this hour (0-24),(0-24) အသုံးပြုသူသာဒီနာရီအကြာတွင် login မှ Allow
"document type..., e.g. customer",စာရွက်စာတမ်းအမျိုးအစား ... ဥပမာဖောက်သည်
Website Theme Image,ဝဘ်ဆိုဒ် Theme ပုံရိပ်
Everyone,လူတိုင်း
You do not have enough review points,သငျသညျအလုံအလောက်ပြန်လည်သုံးသပ်အချက်များရှိသည်မဟုတ်ကြဘူး
Integration Type,ပေါင်းစည်းရေးအမျိုးအစား
Fieldtype {0} for {1} cannot be unique,Fieldtype {0} {1} ထူးခြားတဲ့မဖွစျနိုငျဘို့
{0} is mandatory,{0} မဖြစ်မနေဖြစ်ပါသည်
View Log,ကြည့်ရန် Log in ဝင်ရန်
"Actions for workflow (e.g. Approve, Cancel).","လုပ်ငန်းအသွားအလာအဘို့အလုပ်ဆောင်ချက်များ (ဥပမာကိုအတည်ပြုသည်, Cancel) ။"
Pick Columns,ကော်လံများ Pick
Cannot map because following condition fails: ,အောက်ပါအခွအေနေပျက်ကွက်သောကွောငျ့ map မပေးနိုင်:
Sorry! User should have complete access to their own record.,Sorry! အသုံးပြုသူမိမိတို့ကိုယ်ပိုင်စံချိန်မှပြည့်စုံ access ကိုရှိသင့်သည်။
Try to avoid repeated words and characters,အထပ်ထပ်စကားလုံးများနှင့်ဇာတ်ကောင်ရှောင်ရှားရန်ကြိုးစားပါ
Add Comment,မှတ်ချက်လေး
Emails are muted,အီးမေးလ်များကိုကျောခိုင်းထားသောများမှာ
{0}: Cannot set Amend without Cancel,{0}: Cancel မရှိဘဲပြင်ဆင်ချက်မသတ်မှတ်နိုင်ပါ
old_parent,old_parent
Module to Export,ပို့ကုန်မှ module
Fields,လယ်ကွင်းများ
You are not allowed to print this document,သငျသညျဤစာရွက်စာတမ်း print ထုတ်ခွင့်ပြုခဲ့ကြသည်မဟုတ်
Parent,မိဘ
"Your session has expired, please login again to continue.","သင့်ရဲ့ session ကိုသက်တမ်းကုန်သွားပြီ, ဆက်လက်တဖန် login ပါ။"
Priority,ဦးစားပေး
click here,ဤနေရာကိုကလစ်နှိပ်ပါ
Wednesday,ဗုဒ္ဓဟူးနေ့
Additional Permissions,အပိုဆောင်းခွင့်ပြုချက်များ
Send Now,အခုတော့ Send
ASC,ASC
Both login and password required,login နဲ့ password ကိုနှစ်ဦးစလုံးလိုအပ်
 for {0},{0} များအတွက်
Cache Cleared,cache ရှင်းပြီးပါပြီ
Energy Points,စွမ်းအင်ဝန်ကြီးဌာနအမှတ်
Refreshing...,လန်းဆန်း ...
This is similar to a commonly used password.,ဒါကအသုံးအများဆုံး password ကိုဆင်တူသည်။
Last Point Allocation Date,နောက်ဆုံးပွိုင့်ခွဲဝေနေ့စွဲ
Index,အညွှန်းကိန်း
Is Published Field must be a valid fieldname,Published ဖြစ်ပါတယ်ကွင်းဆင်းခိုင်လုံသော fieldname ဖြစ်ရမည်
Mapping Name,မြေပုံအမည်
Sorry! I could not find what you were looking for.,Sorry! ငါသည်သင်တို့အဘို့အရှာဖွေနေခဲ့ကြသည်ဘယ်အရာကိုမတှေ့နိုငျတယျ။
Please select atleast 1 column from {0} to sort/group,/ အုပ်စုတစ်စုစီမှ {0} ကနေ atleast 1 ကော်လံကို select ပေးပါ
Allow Read On All Link Options,အားလုံး Link ကို Options ကိုတွင်ဖတ်ပါ Allow
Reset OTP Secret,OTP လျှို့ဝှက်ချက် Reset
UPPER CASE,စာလုံးကြီး
