Connector Type,커넥터 유형
Redirect URIs,리디렉션 URI
Font,세례반
Text Color,텍스트 색상
I found these: ,나는 이것들을 발견했다 :
Timeline DocType,타임 라인 DocType
File,파일
Insert After cannot be set as {0},삽입 후 {0} (으)로 설정할 수 없습니다.
Drag elements from the sidebar to add. Drag them back to trash.,사이드 바에서 요소를 드래그하여 추가합니다. 다시 휴지통으로 드래그하십시오.
Chat Profile for User {0} exists.,사용자 {0}의 채팅 프로필이 존재합니다.
Default Role at Time of Signup,가입 당시의 기본 역할
Table MultiSelect,표 MultiSelect
Form Settings,양식 설정
{0} self assigned this task: {1},{0}자가이 작업을 할당했습니다 : {1}
Relapses,재진 구
Notify users with a popup when they log in,사용자가 로그인 할 때 팝업으로 알림
Restrict user for specific document,특정 문서에 대한 사용자 제한
App Name,앱 이름
Delayed,지연
Your subscription has expired.,구독이 만료되었습니다.
Download Link,다운로드 링크
"Standard DocType cannot have default print format, use Customize Form",표준 DocType은 기본 인쇄 형식을 가질 수 없습니다. 양식 사용자 정의를 사용하십시오.
Document States,문서 상태
Next,다음 것
Pull Insert,끌어 오기 삽입
minus,마이너스
Event Category,이벤트 카테고리
Columns based on,다음을 기반으로하는 열
Edit Heading,제목 편집
Received,받은
You are not permitted to access this page.,이 페이지에 액세스하는 것은 허용되지 않습니다.
User Social Login,사용자 소셜 로그인
Write a Python file in the same folder where this is saved and return column and result.,이 파일이 저장된 폴더에 Python 파일을 작성하고 열과 결과를 반환하십시오.
Purchase Manager,구매 관리자
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,새 데이터가 삽입됩니다.
Set Banner from Image,이미지에서 배너 설정
Prepared Report,준비 보고서
Not allowed to print cancelled documents,취소 된 문서를 인쇄 할 수 없습니다.
Cannot delete {0} as it has child nodes,자식 노드가 있으므로 {0}을 (를) 삭제할 수 없습니다.
Incorrect value in row {0}: {1} must be {2} {3},행 {0}의 값이 잘못되었습니다 : {1}은 {2} {3}이어야합니다.
Communicated via {0} on {1}: {2},{1}의 {0}을 (를) 통해 통신 : {2}
Plant,식물
Update Field,필드 업데이트
Message-id,메시지 ID
Login Verification Code from {},{}의 로그인 확인 코드
Width of the input box,입력 상자의 너비
for generating the recurring,되풀이 생성을위한
Payment Cancelled,지불 취소됨
Percent Complete,완료율
Repeat on Day,하루에 반복하기
Home Address,집 주소
Developer,개발자
"Company is mandatory, as it is your company address",귀하의 회사 주소이므로 회사는 의무 사항입니다.
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,사용자 정의 스크립트의 add_fetch 구성에서 잘못된 필드 이름 <b>{0}</b>
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,서버에 QR 코드 이미지를 보관할 시간 (초). 최소 : <strong>240</strong>
Home/Test Folder 2,홈 / 테스트 폴더 2
You have a new message from: ,님의 새 메시지가 있습니다.
{0} in row {1} cannot have both URL and child items,{1} 행의 {0}은 URL 항목과 하위 항목을 모두 가질 수 없습니다.
Purple,자
Throttled,스로틀 됨
Defines workflow states and rules for a document.,문서의 워크 플로 상태 및 규칙을 정의합니다.
Is Manual,매뉴얼
Error Snapshot,오류 스냅 샷
Tag,꼬리표
SUB-,보결-
Files,파일들
Parameter,매개 변수
First data column must be blank.,첫 번째 데이터 열은 비워 두어야합니다.
API Password,API 비밀번호
{0} updated,{0} 개의 업데이트 됨
File Upload Disconnected. Please try again.,파일 업로드 연결이 끊어졌습니다. 다시 시도하십시오.
Dynamic Link,동적 링크
"Customize Label, Print Hide, Default etc.","라벨 사용자 정의, 인쇄 숨기기, 기본값 등"
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,자체적으로 Google Apps Script 웹 응용 프로그램을 사용하지 않는 경우 기본 https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec를 사용할 수 있습니다.
You do not have enough permissions to access this resource. Please contact your manager to get access.,이 리소스에 액세스 할 수있는 권한이 없습니다. 액세스하려면 관리자에게 문의하십시오.
File {0} does not exist,{0} 파일이 존재하지 않습니다
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0}은 (는) 유효한 워크 플로 상태가 아닙니다. 워크 플로를 업데이트하고 다시 시도하십시오.
Allowed In Mentions,멘션에서 허용됨
MX,MX
Configure Charts,차트 구성
Operator must be one of {0},연산자는 {0} 중 하나 여야합니다.
If Owner,소유자 인 경우
Trigger Name,트리거 이름
Write titles and introductions to your blog.,블로그에 제목 및 소개를 작성하십시오.
Remove Field,필드 삭제
Collapse All,모든 축소
Background Color,배경색
There were errors while creating the document. Please try again.,문서를 만드는 동안 오류가 발생했습니다. 다시 시도하십시오.
Successful,성공한
Field {0} in row {1} cannot be hidden and mandatory without default,{1} 행의 {0} 필드를 숨길 수 없으며 기본값없이 필수 항목입니다.
Valid Login id required.,유효한 로그인 ID가 필요합니다.
Example:,예:
Owner,소유자
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,허용 유형 ( <code>{0}</code> )과 응답 유형 ( <code>{1}</code> )의 조합이 허용되지 않습니다.
Delete {0} items permanently?,{0} 항목을 영구적으로 삭제 하시겠습니까?
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop",사용자가 어떤 역할을 선택하면 사용자는 &quot;시스템 사용자&quot;가됩니다. &quot;시스템 사용자&quot;는 데스크톱에 액세스 할 수 있습니다.
You are connected to internet.,인터넷에 연결되어 있습니다.
Avoid recent years.,최근에는 피하십시오.
Share,몫
Kanban Board,간판 보드
Api Access,API 액세스
Send Email Alert,이메일 경고 보내기
Reference Date,참조 날짜
X Axis Field,X 축 필드
Script,스크립트
Send Notifications for documents followed by me,나를 따르는 문서에 대한 알림 보내기
Select DocType,DocType 선택
Search Help,검색 도움말
OTP App,OTP 앱
Level Name,레벨 이름
Settings for OAuth Provider,OAuth 공급자 설정
Invalid Request,잘못된 요청
Authentication,입증
Leave blank to repeat always,빈칸으로 두어 항상 반복하십시오.
Invalid module path,모듈 경로가 잘못되었습니다.
One Time Password (OTP) Registration Code from {},원타임 패스워드 (OTP) 등록 코드 {}
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","링크는 웹 사이트 홈 페이지입니다. 표준 링크 (색인, 로그인, 제품, 블로그, 정보, 연락처)"
Footer will display correctly only in PDF,꼬리말은 PDF로만 올바르게 표시됩니다.
You cannot give review points to yourself,자신에게 리뷰 포인트를 줄 수는 없습니다.
Reports,보고서
Bypass restricted IP Address check If Two Factor Auth Enabled,제한된 IP 주소 무시 2 단계 인증이 활성화 된 경우
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.",서버의 razorpay config에 문제가있는 것 같습니다. 실패 금액이 귀하의 계좌로 환급 될 경우 걱정하지 마십시오.
Option 1,옵션 1
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),이 IP 주소에서만 사용자를 제한하십시오. 쉼표로 구분하여 여러 IP 주소를 추가 할 수 있습니다. 또한 (111.111.111)과 같은 부분 IP 주소를 허용합니다.
chevron-down,쉐브론 다운
Language Code,언어 코드
Unread,읽히지 않는
Show Log,로그보기
backward,뒤로
Bar,바
Enter url parameter for message,메시지에 url 매개 변수를 입력하십시오.
New Custom Print Format,새 사용자 정의 인쇄 형식
{0} {1} already exists,{0} {1}은 (는) 이미 존재합니다.
Purchase User,구매 사용자
Insert,끼워 넣다
Route to Success Link,성공 링크로 연결
Username {0} already exists,사용자 이름 {0}이 (가) 이미 있습니다.
Is Home Folder,홈 폴더
Type:,유형:
Is Pinned,고정됨
No permission to '{0}' {1},&#39;{0}&#39;{1}에 대한 권한이 없습니다.
Patch Log,패치 로그
Print Format Builder,인쇄 포맷 빌더
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page",활성화 된 경우 모든 사용자는 Two Factor Auth를 사용하여 모든 IP 주소에서 로그인 할 수 있습니다. 사용자 페이지의 특정 사용자에 대해서만 설정할 수도 있습니다.
only.,만.
The Condition '{0}' is invalid,조건 &#39;{0}&#39;이 (가) 유효하지 않습니다.
Day of Week,요일
Text Editor,텍스트 에디터
Cut,절단
Search or type a command,명령 검색 또는 입력
Settings...,설정 ...
Number of DB backups cannot be less than 1,DB 백업 수는 1보다 작을 수 없습니다.
ban-circle,금지 원
Excel,뛰어나다
Support Email Address Not Specified,지원 이메일 주소가 지정되지 않았습니다.
Published,게시 됨
"Note: For best results,  images must be of the same size and width must be greater than height.",참고 : 최상의 결과를 얻으려면 이미지의 크기가 동일해야하며 폭은 높이보다 커야합니다.
This is a top-10 common password.,이것은 상위 10 개의 공통 암호입니다.
Rebuild,다시 빌드
Razorpay Payment gateway settings,Razorpay 지불 게이트웨이 설정
Brand Image,브랜드 이미지
Column Labels:,열 레이블 :
Google GSuite Templates to integration with DocTypes,Google GSuite 템플릿과 DocTypes의 통합
Orientation,정위
Assign,양수인
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,예를 들어 INV004를 취소하고 수정할 경우 새 문서 INV004-1이됩니다. 이는 각 수정안을 추적하는 데 도움이됩니다.
From Date Field,날짜 필드에서
Add script for Child Table,자식 테이블에 대한 스크립트 추가
View Comment,댓글보기
Ignore User Permissions,사용자 권한 무시
{0} from {1} to {2},{1}에서 {2}까지의 {0}
Add Contacts,연락처 추가
Email Account,이메일 계정
This month,이번 달
Last Modified By,마지막으로 수정 한 사람
Width,폭
{0} subscribers added,{0} 명의 가입자가 추가되었습니다.
Get Contacts,연락처 가져 오기
{0} {1} added,{0} {1}이 (가) 추가되었습니다.
picture,그림
Please select a new name to rename,이름을 바꾸려면 새 이름을 선택하십시오.
